institution,academic_year,programme,established,graduate,registered,enrolled,active
Aristotle University of Thessaloniki,2023-2024,German Language and Literature,14/09/1981,97,1112,48,421
Aristotle University of Thessaloniki,2023-2024,Geology,05/04/1973,92,1440,82,522
Aristotle University of Thessaloniki,2023-2024,Agriculture,30/06/1928,242,2997,221,1461
Aristotle University of Thessaloniki,2023-2024,Forestry and Natural Environment,14/09/1917,76,1340,83,650
Aristotle University of Thessaloniki,2023-2024,Journalism and Mass Media,27/07/1991,73,1055,142,694
Aristotle University of Thessaloniki,2023-2024,Fine and Applied Arts,03/05/1984,98,1181,123,752
Aristotle University of Thessaloniki,2023-2024,Introductory Direction of Muslim Studies,19/04/2016,8,241,17,210
Aristotle University of Thessaloniki,2023-2024,Physical Education and Sports Science,01/09/1983,239,2427,256,1092
Aristotle University of Thessaloniki,2023-2024,Physical Education and Sports Science,08/02/1985,98,904,122,508
Aristotle University of Thessaloniki,2023-2024,Preschool Education Sciences,09/07/1983,244,1490,263,932
Aristotle University of Thessaloniki,2023-2024,Electrical and Computer Engineering,01/09/1976,245,2869,279,1711
Aristotle University of Thessaloniki,2023-2024,Theater,03/05/1984,41,990,91,587
Aristotle University of Thessaloniki,2023-2024,Theology,25/10/1982,66,3838,69,615
Aristotle University of Thessaloniki,2023-2024,Medicine,18/02/1942,326,2597,356,1822
Aristotle University of Thessaloniki,2023-2024,History and Archaeology,12/03/2020,212,1739,124,773
Aristotle University of Thessaloniki,2023-2024,Italian Language and Literature,01/09/1960,35,973,18,250
Aristotle University of Thessaloniki,2023-2024,Cinema,22/07/2004,40,1022,106,648
Aristotle University of Thessaloniki,2023-2024,Social Theology and Christian Culture,06/10/1994,97,1789,60,464
Aristotle University of Thessaloniki,2023-2024,Veterinary Medicine,17/10/1950,110,1108,146,755
Aristotle University of Thessaloniki,2023-2024,Mathematics,18/10/1928,137,2761,104,917
Aristotle University of Thessaloniki,2023-2024,Spatial Planning and Development Engineering,22/07/2004,62,817,109,605
Aristotle University of Thessaloniki,2023-2024,Mechanical Engineering,10/09/1976,85,1872,165,1029
Aristotle University of Thessaloniki,2023-2024,Music Studies,03/05/1984,51,783,65,441
Aristotle University of Thessaloniki,2023-2024,Law,07/08/1930,185,5284,551,2485
Aristotle University of Thessaloniki,2023-2024,Dentistry,07/09/1959,104,687,102,532
Aristotle University of Thessaloniki,2023-2024,Economic Sciences,19/11/1927,406,5193,521,2308
Aristotle University of Thessaloniki,2023-2024,Primary Education Pedagogy,16/07/1982,306,1751,306,1137
Aristotle University of Thessaloniki,2023-2024,Informatics,30/05/1991,147,1855,229,1164
Aristotle University of Thessaloniki,2023-2024,Political Sciences,06/09/1999,158,1282,189,761
Aristotle University of Thessaloniki,2023-2024,Civil Engineering,08/10/1955,130,2396,207,1348
Aristotle University of Thessaloniki,2023-2024,Pharmacy,22/03/1993,103,1014,140,728
Aristotle University of Thessaloniki,2023-2024,Philology,01/09/1984,216,1719,129,879
Aristotle University of Thessaloniki,2023-2024,Philosophy and Pedagogy,27/04/1993,171,1110,185,689
Aristotle University of Thessaloniki,2023-2024,Physics,27/08/1982,136,2568,144,957
Aristotle University of Thessaloniki,2023-2024,Chemistry,03/07/2009,61,1782,237,1019
Aristotle University of Thessaloniki,2023-2024,Chemical Engineering,28/06/1972,85,1295,113,784
Aristotle University of Thessaloniki,2023-2024,Psychology,27/04/1993,291,1523,291,1090
School of Pedagogical and Technological Education (ASPETE),2023-2024,Educational Electrical Engineering,05/06/2013,47,852,24,489
School of Pedagogical and Technological Education (ASPETE),2023-2024,Educational Electronic Engineering,05/06/2013,25,881,19,483
School of Pedagogical and Technological Education (ASPETE),2023-2024,Educational Mechanical Engineering,05/06/2013,72,836,31,493
School of Pedagogical and Technological Education (ASPETE),2023-2024,Educational Civil Engineering,01/09/2013,35,742,19,417
Agricultural University of Athens,2023-2024,Agricultural Economy and Development,28/03/1985,74,1207,83,639
Agricultural University of Athens,2023-2024,Natural Resources Utilization and Agricultural Engineering,16/06/1989,63,1147,53,570
Agricultural University of Athens,2023-2024,Biotechnology,16/06/1989,98,1004,139,768
Agricultural University of Athens,2023-2024,Forestry and Natural Environment Management,29/01/2019,10,354,35,354
Agricultural University of Athens,2023-2024,Agricultural Business Management and Supply Systems,29/01/2019,0,802,114,802
Agricultural University of Athens,2023-2024,Animal Production Science,16/06/1989,87,1067,66,651
Agricultural University of Athens,2023-2024,Food Science and Human Nutrition,16/06/1989,105,961,132,695
Agricultural University of Athens,2023-2024,Plant Production Science,28/03/1985,131,2216,220,1287
Agricultural University of Athens,2023-2024,Regional and Economic Development,29/01/2019,18,382,41,382
Agricultural University of Athens,2023-2024,Forestry and Natural Environment Management,22/08/1994,27,509,0,75
Agricultural University of Athens,2023-2024,Supply Systems Management,23/06/2005,193,1385,0,160
Agricultural University of Athens,2023-2024,"Management, Economy and Communication of Cultural and Tourist Units",05/06/2013,77,1812,0,107
Democritus University of Thrace,2023-2024,Agricultural Development,06/09/1999,82,1113,182,751
Democritus University of Thrace,2023-2024,Agricultural Biotechnology and Oenology,01/09/2023,0,463,60,463
Democritus University of Thrace,2023-2024,Architectural Engineering,06/09/1999,70,650,107,536
Democritus University of Thrace,2023-2024,"Language, Philology and Culture of Black Sea Countries",10/03/2000,146,962,32,381
Democritus University of Thrace,2023-2024,Forestry and Environment and Natural Resources Management,06/09/1999,46,928,139,583
Democritus University of Thrace,2023-2024,Forestry and Natural Environment,01/09/2023,21,379,33,378
Democritus University of Thrace,2023-2024,Management Science and Technology,01/09/2023,1,847,111,847
Democritus University of Thrace,2023-2024,Greek Philology,13/09/1993,165,942,126,600
Democritus University of Thrace,2023-2024,Physical Education and Sports Science,30/11/1983,417,2013,369,1441
Democritus University of Thrace,2023-2024,Preschool Education Sciences,16/07/1982,158,1077,203,773
Democritus University of Thrace,2023-2024,Electrical and Computer Engineering,08/10/1975,114,1630,185,1045
Democritus University of Thrace,2023-2024,Medicine,22/07/1977,95,882,121,683
Democritus University of Thrace,2023-2024,History and Ethnology,10/04/1990,126,1098,52,558
Democritus University of Thrace,2023-2024,Social Work,07/05/2019,236,530,135,477
Democritus University of Thrace,2023-2024,Social Policy,07/05/2019,80,773,114,538
Democritus University of Thrace,2023-2024,Accounting and Finance,01/09/2023,30,811,103,806
Democritus University of Thrace,2023-2024,Production and Management Engineering,10/03/2000,57,1120,143,822
Democritus University of Thrace,2023-2024,Environmental Engineering,13/09/1993,71,817,103,599
Democritus University of Thrace,2023-2024,Molecular Biology and Genetics,06/09/1999,124,780,132,533
Democritus University of Thrace,2023-2024,Law,25/05/1974,460,2939,407,1798
Democritus University of Thrace,2023-2024,Nursing,01/09/2023,0,161,38,146
Democritus University of Thrace,2023-2024,Economic Sciences,06/09/1999,71,1639,220,1071
Democritus University of Thrace,2023-2024,Primary Education Pedagogy,16/07/1982,138,1288,233,904
Democritus University of Thrace,2023-2024,Informatics,01/09/2023,8,945,220,945
Democritus University of Thrace,2023-2024,Political Science,01/09/2019,76,841,170,657
Democritus University of Thrace,2023-2024,Civil Engineering,25/05/1974,93,1137,111,628
Democritus University of Thrace,2023-2024,Physics,01/09/2023,28,287,27,287
Democritus University of Thrace,2023-2024,Chemistry,01/09/2023,27,559,174,559
Democritus University of Thrace,2023-2024,Landscape Architecture,01/09/2023,11,222,0,46
Democritus University of Thrace,2023-2024,Forestry and Natural Environment Management,01/09/2023,28,732,0,104
Democritus University of Thrace,2023-2024,Business Administration,01/09/2023,49,1954,0,218
Democritus University of Thrace,2023-2024,Electrical Engineering,01/09/2023,90,1203,0,123
Democritus University of Thrace,2023-2024,Accounting and Finance,01/09/2023,81,1608,0,186
Democritus University of Thrace,2023-2024,Informatics Engineering,01/09/2023,59,1161,0,125
Democritus University of Thrace,2023-2024,Oil and Natural Gas Technology Engineering,01/09/2023,149,1099,0,98
Democritus University of Thrace,2023-2024,Mechanical Engineering,01/09/2023,136,774,0,69
Democritus University of Thrace,2023-2024,Nursing,01/09/2023,0,257,0,61
Democritus University of Thrace,2023-2024,Oenology and Beverage Technology,01/09/2023,4,315,0,80
International Hellenic University,2023-2024,Early Childhood Care and Education,07/05/2019,138,565,182,565
International Hellenic University,2023-2024,"Library Science, Archival Science and Information Systems",07/05/2019,37,402,87,402
International Hellenic University,2023-2024,Biomedical Sciences,07/05/2019,147,952,248,943
International Hellenic University,2023-2024,Agriculture,07/05/2019,24,1243,229,1238
International Hellenic University,2023-2024,Creative Design and Clothing,07/05/2019,6,455,109,448
International Hellenic University,2023-2024,Supply Chain Management,07/05/2019,28,843,179,831
International Hellenic University,2023-2024,"Organization Management, Marketing and Tourism",07/05/2019,253,1680,328,1680
International Hellenic University,2023-2024,Food Science and Technology,07/05/2019,25,700,267,700
International Hellenic University,2023-2024,Nutrition and Dietetics Sciences,07/05/2019,53,639,124,639
International Hellenic University,2023-2024,Interior Architecture,07/05/2019,10,375,125,374
International Hellenic University,2023-2024,Accounting and Information Systems,07/05/2019,68,862,164,819
International Hellenic University,2023-2024,Midwifery,07/05/2019,113,513,145,510
International Hellenic University,2023-2024,Production and Management Engineering,07/05/2019,16,708,141,695
International Hellenic University,2023-2024,Environmental Engineering,07/05/2019,4,337,55,337
International Hellenic University,2023-2024,Informatics and Electronic Systems Engineering,05/07/2019,25,1038,242,1027
International Hellenic University,2023-2024,"Informatics, Computers and Telecommunications Engineering",07/05/2019,0,386,174,386
International Hellenic University,2023-2024,Surveying and Geoinformatics Engineering,07/05/2019,4,203,16,203
International Hellenic University,2023-2024,Mechanical Engineering,07/05/2019,1,452,54,452
International Hellenic University,2023-2024,Nursing,07/05/2019,128,704,139,694
International Hellenic University,2023-2024,Economic Sciences,07/05/2019,77,1202,289,1193
International Hellenic University,2023-2024,Business Administration,07/05/2019,42,1162,332,1162
International Hellenic University,2023-2024,Civil Engineering,07/05/2019,0,231,30,231
International Hellenic University,2023-2024,Physiotherapy,07/05/2019,197,829,148,749
International Hellenic University,2023-2024,Aesthetics and Cosmetology,12/10/1984,45,334,0,49
International Hellenic University,2023-2024,Library Science and Information Systems,27/03/1984,50,115,0,53
International Hellenic University,2023-2024,Nutrition and Dietetics,27/11/1985,52,548,0,71
International Hellenic University,2023-2024,Business Administration,03/06/2013,23,949,0,143
International Hellenic University,2023-2024,Business Administration,24/11/1983,75,2426,0,160
International Hellenic University,2023-2024,Supply Systems Management,17/09/2003,46,984,0,122
International Hellenic University,2023-2024,Tourism Business and Hospitality Management,03/06/2013,23,623,0,130
International Hellenic University,2023-2024,"Interior Architecture, Decoration and Object Design",12/03/2009,18,168,0,55
International Hellenic University,2023-2024,Electronic Engineering,24/11/1983,30,1085,0,166
International Hellenic University,2023-2024,Medical Laboratories,12/11/1984,21,419,0,79
International Hellenic University,2023-2024,Accounting and Finance,03/06/2013,68,1159,0,149
International Hellenic University,2023-2024,Accounting and Finance,05/06/2013,96,2020,0,132
International Hellenic University,2023-2024,Midwifery,24/11/1983,55,684,0,374
International Hellenic University,2023-2024,Automation Engineering,09/03/1988,60,768,0,118
International Hellenic University,2023-2024,Informatics Engineering,09/03/1988,64,1200,0,238
International Hellenic University,2023-2024,Informatics Engineering,06/09/1999,78,1437,0,122
International Hellenic University,2023-2024,Surveying and Geoinformatics Engineering,06/09/1999,27,1186,0,43
International Hellenic University,2023-2024,Mechanical Engineering,05/06/2013,30,1062,0,71
International Hellenic University,2023-2024,Vehicle Mechanical Engineering,09/03/1988,45,664,0,87
International Hellenic University,2023-2024,Nursing,28/09/1970,24,336,0,52
International Hellenic University,2023-2024,Civil Engineering,03/06/2013,48,445,0,75
International Hellenic University,2023-2024,Civil Engineering,05/06/2013,39,1171,0,58
International Hellenic University,2023-2024,Preschool Education,27/11/1985,20,115,0,19
International Hellenic University,2023-2024,Clothing Design and Technology,06/09/1999,23,887,0,98
International Hellenic University,2023-2024,Food Technology,24/11/1983,79,852,0,112
International Hellenic University,2023-2024,Agricultural Technologists,06/03/2013,120,1967,0,227
International Hellenic University,2023-2024,Physiotherapy,24/11/1983,33,425,0,16
National and Kapodistrian University of Athens,2023-2024,Unknown,19/07/2019,9,42,42,42
National and Kapodistrian University of Athens,2023-2024,English Language and Literature,23/06/1951,221,4583,265,1015
National and Kapodistrian University of Athens,2023-2024,"Agricultural Development, Agrifood and Natural Resources Management",29/01/2019,9,324,65,324
National and Kapodistrian University of Athens,2023-2024,Aerospace Science and Technology,29/01/2019,12,231,35,231
National and Kapodistrian University of Athens,2023-2024,Biology,03/07/1970,114,1726,157,742
National and Kapodistrian University of Athens,2023-2024,French Language and Literature,16/07/1982,81,2906,62,506
National and Kapodistrian University of Athens,2023-2024,German Language and Literature,15/02/1977,86,1438,49,466
National and Kapodistrian University of Athens,2023-2024,Geology and Geoenvironment,03/07/1970,63,1911,60,558
National and Kapodistrian University of Athens,2023-2024,Port and Shipping Management,29/01/2019,89,764,160,764
National and Kapodistrian University of Athens,2023-2024,Business Administration,29/01/2019,65,584,122,584
National and Kapodistrian University of Athens,2023-2024,Preschool Education and Training,16/07/1983,235,1552,205,871
National and Kapodistrian University of Athens,2023-2024,Communication and Mass Media,06/10/1989,154,1341,200,784
National and Kapodistrian University of Athens,2023-2024,Physical Education and Sports Science,12/04/1983,279,4864,331,1629
National and Kapodistrian University of Athens,2023-2024,Theater Studies,06/10/1989,77,1647,150,775
National and Kapodistrian University of Athens,2023-2024,Theology,16/07/1982,105,4200,115,938
National and Kapodistrian University of Athens,2023-2024,Medicine,24/04/1837,333,3069,353,1941
National and Kapodistrian University of Athens,2023-2024,Unknown,01/09/2022,0,69,34,69
National and Kapodistrian University of Athens,2023-2024,Spanish Language and Literature,01/10/2009,64,829,35,333
National and Kapodistrian University of Athens,2023-2024,History and Archaeology,24/04/1986,277,3793,283,1324
National and Kapodistrian University of Athens,2023-2024,History and Philosophy of Science,05/03/1993,48,1467,127,601
National and Kapodistrian University of Athens,2023-2024,Italian Language and Literature,01/10/2009,37,813,32,305
National and Kapodistrian University of Athens,2023-2024,Social Theology and Religious Studies,18/05/1977,145,3053,95,958
National and Kapodistrian University of Athens,2023-2024,Sociology,29/01/2019,79,488,116,488
National and Kapodistrian University of Athens,2023-2024,Mathematics,04/06/1904,229,4751,166,1352
National and Kapodistrian University of Athens,2023-2024,Music Studies,06/10/1989,39,1073,77,587
National and Kapodistrian University of Athens,2023-2024,Law,24/04/1837,607,7116,779,3380
National and Kapodistrian University of Athens,2023-2024,Nursing,22/08/1983,167,1321,259,835
National and Kapodistrian University of Athens,2023-2024,Dentistry,22/09/1916,118,1018,166,704
National and Kapodistrian University of Athens,2023-2024,Economic Sciences,27/08/1982,278,8218,431,2133
National and Kapodistrian University of Athens,2023-2024,Primary Education Pedagogy,07/09/1983,393,2450,302,1321
National and Kapodistrian University of Athens,2023-2024,Secondary Education Pedagogy Department,29/01/2019,106,712,172,702
National and Kapodistrian University of Athens,2023-2024,Informatics and Telecommunications,16/06/1989,192,2928,283,1487
National and Kapodistrian University of Athens,2023-2024,Political Science and Public Administration,11/06/1981,245,4294,262,1241
National and Kapodistrian University of Athens,2023-2024,Russian Language and Literature and Slavic Studies,31/07/2007,58,638,99,444
National and Kapodistrian University of Athens,2023-2024,Digital Industry Technologies,29/01/2019,15,971,229,971
National and Kapodistrian University of Athens,2023-2024,Turkish Studies and Modern Asian Studies,02/03/2004,249,912,49,415
National and Kapodistrian University of Athens,2023-2024,Pharmacy,12/08/1838,102,1622,201,778
National and Kapodistrian University of Athens,2023-2024,Philology,18/10/1984,327,3182,324,1512
National and Kapodistrian University of Athens,2023-2024,Philosophy,29/01/2019,90,834,175,809
National and Kapodistrian University of Athens,2023-2024,"Philosophy, Pedagogy and Psychology",01/09/2019,20,1986,0,42
National and Kapodistrian University of Athens,2023-2024,Physics,23/03/1932,181,3854,197,1236
National and Kapodistrian University of Athens,2023-2024,Chemistry,27/04/1918,105,1811,145,667
National and Kapodistrian University of Athens,2023-2024,Digital Arts and Cinema,29/01/2019,30,413,107,413
National and Kapodistrian University of Athens,2023-2024,Psychology,03/06/2013,312,1735,287,1183
National and Kapodistrian University of Athens,2023-2024,Electrical Engineering,01/09/2019,130,2144,0,93
National and Kapodistrian University of Athens,2023-2024,Accounting and Finance,01/09/2019,154,1594,0,153
National and Kapodistrian University of Athens,2023-2024,Automation Engineering,01/09/2019,144,1197,0,122
National and Kapodistrian University of Athens,2023-2024,Aircraft Technology Engineering,01/09/2019,79,601,0,66
National and Kapodistrian University of Athens,2023-2024,Mechanical Engineering,01/09/2019,89,1234,0,104
National Technical University of Athens,2023-2024,Agricultural and Surveying Engineering - Geoinformatics Engineering,30/10/1917,92,1392,80,679
National Technical University of Athens,2023-2024,Architectural Engineering,30/10/1917,137,1793,171,1184
National Technical University of Athens,2023-2024,Applied Mathematics and Physical Sciences,01/09/1999,87,1990,164,1113
National Technical University of Athens,2023-2024,Electrical and Computer Engineering,30/10/1917,344,5165,434,2785
National Technical University of Athens,2023-2024,Mining - Metallurgical Engineering,13/08/1975,50,1011,99,573
National Technical University of Athens,2023-2024,Mechanical Engineering,30/10/1917,159,4008,213,1451
National Technical University of Athens,2023-2024,Naval Architects and Mechanical Engineering,27/08/1982,84,1441,117,780
National Technical University of Athens,2023-2024,Civil Engineering,20/06/1887,131,2614,191,1342
National Technical University of Athens,2023-2024,Chemical Engineering,30/10/1917,156,1855,182,1058
Hellenic Open University,2023-2024,Unknown,30/01/2018,330,2240,547,2240
Hellenic Open University,2023-2024,Unknown,21/03/2018,94,914,234,914
Hellenic Open University,2023-2024,Unknown,11/12/1998,511,3634,731,2968
Hellenic Open University,2023-2024,Unknown,11/12/1998,35,261,45,218
Hellenic Open University,2023-2024,Unknown,11/12/1998,104,1653,361,1184
Hellenic Open University,2023-2024,Unknown,01/03/2023,0,227,153,227
Hellenic Open University,2023-2024,Unknown,11/12/1998,34,325,53,186
Hellenic Open University,2023-2024,Unknown,11/12/1998,283,1619,245,1134
Hellenic Open University,2023-2024,Unknown,11/12/1998,186,1217,153,752
Hellenic Mediterranean University,2023-2024,Agriculture,07/05/2019,50,712,165,708
Hellenic Mediterranean University,2023-2024,Business and Tourism Management,07/05/2019,102,1078,219,1067
Hellenic Mediterranean University,2023-2024,Management Science and Technology,07/05/2019,34,487,76,485
Hellenic Mediterranean University,2023-2024,Nutrition and Dietetics Sciences,07/05/2019,15,437,152,437
Hellenic Mediterranean University,2023-2024,Electrical and Computer Engineering,07/05/2019,2,534,101,533
Hellenic Mediterranean University,2023-2024,Electronic Engineering,07/05/2019,4,679,169,679
Hellenic Mediterranean University,2023-2024,Social Work,07/05/2019,167,539,184,539
Hellenic Mediterranean University,2023-2024,Accounting and Finance,07/05/2019,58,968,210,964
Hellenic Mediterranean University,2023-2024,Mechanical Engineering,01/07/2019,12,403,80,402
Hellenic Mediterranean University,2023-2024,Music Technology and Acoustics,06/09/1999,7,386,75,386
Hellenic Mediterranean University,2023-2024,Nursing,07/05/2019,118,464,75,464
Hellenic Mediterranean University,2023-2024,Nutrition and Dietetics,06/09/1999,47,620,0,60
Hellenic Mediterranean University,2023-2024,Business Administration,05/06/2013,38,652,0,234
Hellenic Mediterranean University,2023-2024,Business Administration,05/06/2013,54,950,0,90
Hellenic Mediterranean University,2023-2024,Tourism Business and Hospitality Management,05/06/2013,66,852,0,108
Hellenic Mediterranean University,2023-2024,Electrical Engineering,07/05/2019,54,912,0,97
Hellenic Mediterranean University,2023-2024,Electronic Engineering,24/11/1983,52,1003,0,110
Hellenic Mediterranean University,2023-2024,Social Work,05/06/2013,32,423,0,46
Hellenic Mediterranean University,2023-2024,Accounting and Finance,05/06/2013,87,2695,0,130
Hellenic Mediterranean University,2023-2024,Music Technology and Acoustics Engineering,06/09/1999,37,1249,0,109
Hellenic Mediterranean University,2023-2024,Informatics Engineering,05/06/2013,73,1425,0,163
Hellenic Mediterranean University,2023-2024,Natural Resources and Environment Engineering,06/09/1999,50,499,0,60
Hellenic Mediterranean University,2023-2024,Mechanical Engineering,05/06/2013,85,1079,0,90
Hellenic Mediterranean University,2023-2024,Nursing,24/11/1983,22,228,0,38
Hellenic Mediterranean University,2023-2024,Agricultural Technologists,05/06/2013,54,1100,0,130
Ionian University,2023-2024,"Archival Science, Library Science and Museology",20/03/1984,29,682,18,206
Ionian University,2023-2024,Food Science and Technology,01/10/2018,35,394,93,394
Ionian University,2023-2024,History,20/03/1984,54,991,26,379
Ionian University,2023-2024,Music Studies,01/09/1992,64,993,126,758
Ionian University,2023-2024,"Foreign Languages, Translation and Interpretation",20/03/1984,122,814,116,505
Ionian University,2023-2024,Environment,01/10/2018,13,368,138,368
Ionian University,2023-2024,Informatics,22/07/2004,73,1207,166,786
Ionian University,2023-2024,Sound and Image Arts,22/07/2004,15,1070,105,677
Ionian University,2023-2024,Tourism,01/10/2018,19,433,131,433
Ionian University,2023-2024,Digital Media and Communication,01/10/2018,52,850,256,850
Ionian University,2023-2024,Business Administration,05/06/2013,34,607,0,97
Ionian University,2023-2024,Tourism Business and Hospitality Management,05/06/2013,34,400,0,110
Ionian University,2023-2024,Conservation of Antiquities and Works of Art,05/06/2013,12,330,0,16
Ionian University,2023-2024,Sound Technology and Musical Instruments,20/06/2003,43,507,0,78
Ionian University,2023-2024,Food Technology,05/06/2013,46,390,0,76
Ionian University,2023-2024,Natural Environment Technologies,05/06/2013,16,561,0,54
Ionian University,2023-2024,Digital Media and Communication,05/05/2014,21,431,0,147
Athens University of Economics and Business,2023-2024,International and European Economic Studies,01/09/1989,101,1596,163,837
Athens University of Economics and Business,2023-2024,Management Science and Technology,01/09/2000,170,1402,203,941
Athens University of Economics and Business,2023-2024,Accounting and Finance,06/09/1999,178,1769,225,1118
Athens University of Economics and Business,2023-2024,Marketing and Communication,01/09/1989,160,1659,215,1063
Athens University of Economics and Business,2023-2024,Economic Science,01/09/1984,214,4365,282,1401
Athens University of Economics and Business,2023-2024,Business Administration,01/09/1984,341,5602,320,1502
Athens University of Economics and Business,2023-2024,Informatics,01/09/1984,190,3012,313,1435
Athens University of Economics and Business,2023-2024,Statistics,01/09/1989,81,1138,130,598
University of the Aegean,2023-2024,Geography,16/06/1989,19,1090,75,468
University of the Aegean,2023-2024,Business Administration,20/03/1984,78,1498,184,922
University of the Aegean,2023-2024,Food Science and Nutrition,21/02/2007,29,564,51,313
University of the Aegean,2023-2024,Preschool Education Sciences and Educational Design,20/03/1984,7,1057,322,693
University of the Aegean,2023-2024,Social Anthropology and History,20/03/1984,66,881,77,402
University of the Aegean,2023-2024,Sociology,16/06/1989,99,1111,199,702
University of the Aegean,2023-2024,Mathematics,20/03/1984,61,876,20,309
University of the Aegean,2023-2024,"Mediterranean Studies: Archaeology, Linguistics, International Relations",04/11/1997,88,1097,42,431
University of the Aegean,2023-2024,Economics and Management Engineering,10/03/2000,69,1208,148,726
University of the Aegean,2023-2024,Information and Communication Systems Engineering,04/11/1997,54,1392,148,850
University of the Aegean,2023-2024,Product and Systems Design Engineering,10/03/2000,20,1159,119,766
University of the Aegean,2023-2024,Shipping and Business Services,04/11/1997,107,1028,145,783
University of the Aegean,2023-2024,Tourism Economics and Management,15/02/2017,24,401,92,388
University of the Aegean,2023-2024,Primary Education Pedagogy,20/03/1984,174,1288,224,881
University of the Aegean,2023-2024,Environment,20/03/1984,39,769,142,324
University of the Aegean,2023-2024,Cultural Technology and Communication,10/03/2000,91,1167,157,635
University of the Aegean,2023-2024,Statistics and Actuarial - Financial Mathematics,01/09/2018,36,1019,152,629
University of the Aegean,2023-2024,Oceanography and Marine Biosciences,04/11/1997,38,962,73,385
University of West Attica,2023-2024,Early Childhood Care and Education,02/03/2018,114,775,192,667
University of West Attica,2023-2024,"Archival Science, Library Science and Information Systems",02/03/2018,120,754,96,555
University of West Attica,2023-2024,Biomedical Sciences,02/03/2018,319,2025,396,1452
University of West Attica,2023-2024,Graphic Design and Visual Communication,02/03/2018,138,1260,142,847
University of West Attica,2023-2024,Public and Community Health,02/03/2018,154,1177,234,924
University of West Attica,2023-2024,Business Administration,01/09/2018,341,3212,456,2166
University of West Attica,2023-2024,Tourism Management,02/03/2018,254,2600,421,2022
University of West Attica,2023-2024,Food Science and Technology,02/03/2018,91,920,119,611
University of West Attica,2023-2024,"Wine, Vine and Beverage Sciences",02/03/2018,98,844,81,467
University of West Attica,2023-2024,Occupational Therapy,20/03/2018,106,636,173,590
University of West Attica,2023-2024,Interior Architecture,02/03/2018,58,1056,151,758
University of West Attica,2023-2024,Electrical and Electronic Engineering,13/06/2019,85,2888,165,2059
University of West Attica,2023-2024,Social Work,02/03/2018,134,832,192,728
University of West Attica,2023-2024,Accounting and Finance,02/03/2018,236,1714,224,1185
University of West Attica,2023-2024,Midwifery,01/09/2018,137,852,155,737
University of West Attica,2023-2024,Biomedical Engineering,02/03/2018,67,871,119,729
University of West Attica,2023-2024,Industrial Design and Production Engineering,23/07/2019,73,2375,294,2013
University of West Attica,2023-2024,Informatics and Computer Engineering,24/11/1983,87,2706,321,2133
University of West Attica,2023-2024,Surveying and Geoinformatics Engineering,02/03/2018,17,807,109,671
University of West Attica,2023-2024,Mechanical Engineering,02/03/2018,91,1568,134,1257
University of West Attica,2023-2024,Naval Architects,13/06/2019,48,801,112,678
University of West Attica,2023-2024,Nursing,02/03/2018,185,1047,193,858
University of West Attica,2023-2024,Civil Engineering,02/03/2018,47,1898,180,1504
University of West Attica,2023-2024,Conservation of Antiquities and Works of Art,02/03/2018,33,522,37,343
University of West Attica,2023-2024,Physiotherapy,02/03/2018,161,1011,204,874
University of West Attica,2023-2024,Photography and Audiovisual Arts,01/09/2018,39,970,129,669
University of West Attica,2023-2024,Aesthetics and Cosmetology,03/02/2018,2,91,0,2
University of West Attica,2023-2024,Radiology and Radiotherapy,24/11/1983,1,52,0,0
University of West Attica,2023-2024,"Archival Science, Library Science and Information Systems",24/11/1983,3,121,0,1
University of West Attica,2023-2024,Automation,27/11/1985,29,1132,0,0
University of West Attica,2023-2024,Graphic Design,24/11/1983,16,224,0,0
University of West Attica,2023-2024,Public and Community Health,24/11/1983,2,174,0,1
University of West Attica,2023-2024,Business Administration,24/11/1983,14,632,0,0
University of West Attica,2023-2024,Business Administration,28/05/2013,15,1155,0,4
University of West Attica,2023-2024,Tourism Management,24/11/1983,7,335,0,0
University of West Attica,2023-2024,Tourism Business and Hospitality Management,24/11/1983,9,366,0,0
University of West Attica,2023-2024,Commerce and Advertising,24/11/1983,10,372,0,1
University of West Attica,2023-2024,Occupational Therapy,24/11/1983,4,82,0,1
University of West Attica,2023-2024,"Interior Architecture, Decoration and Object Design",24/11/1983,13,200,0,1
University of West Attica,2023-2024,Electrical Engineering,24/11/1983,23,1680,0,5
University of West Attica,2023-2024,Electronic Engineering,24/11/1983,14,632,0,0
University of West Attica,2023-2024,Electronic Engineering,24/11/1973,12,1363,0,1
University of West Attica,2023-2024,Medical Laboratories,24/11/1983,3,101,0,0
University of West Attica,2023-2024,Textile Engineering,24/11/1983,7,783,0,0
University of West Attica,2023-2024,Social Work,24/11/1983,3,109,0,1
University of West Attica,2023-2024,Accounting and Finance,24/11/1983,46,1951,0,2
University of West Attica,2023-2024,Midwifery,24/11/1983,3,65,0,0
University of West Attica,2023-2024,Biomedical Technology Engineering,24/11/1983,5,243,0,0
University of West Attica,2023-2024,Energy Technology Engineering,24/11/1983,5,330,0,0
University of West Attica,2023-2024,Energy Technology Engineering,24/11/1983,5,0,0,0
University of West Attica,2023-2024,Electronic Computing Systems Engineering,24/11/2018,17,878,0,0
University of West Attica,2023-2024,Informatics Engineering,24/11/1983,27,520,0,2
University of West Attica,2023-2024,Surveying and Geoinformatics Engineering,24/11/1983,4,203,0,1
University of West Attica,2023-2024,Mechanical Engineering,24/11/1983,23,1720,0,0
